commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Cobalt,indicated,tonnes,28202.0,%,0.16,NSR canadian dollar per tonne,40.0,,FW Massive
Gold,indicated,tonnes,28202.0,g/t,0.16,NSR canadian dollar per tonne,40.0,,FW Massive
Platinum,indicated,tonnes,28202.0,g/t,0.80,NSR canadian dollar per tonne,40.0,,FW Massive
Palladium,indicated,tonnes,28202.0,g/t,1.89,NSR canadian dollar per tonne,40.0,,FW Massive
Nickel,indicated,tonnes,267508.0,%,0.74,NSR canadian dollar per tonne,40.0,,FW Net
Copper,indicated,tonnes,267508.0,%,0.79,NSR canadian dollar per tonne,40.0,,FW Net
Cobalt,indicated,tonnes,267508.0,%,0.03,NSR canadian dollar per tonne,40.0,,FW Net
Gold,indicated,tonnes,267508.0,g/t,0.05,NSR canadian dollar per tonne,40.0,,FW Net
Platinum,indicated,tonnes,267508.0,g/t,0.35,NSR canadian dollar per tonne,40.0,,FW Net
Palladium,indicated,tonnes,267508.0,g/t,1.53,NSR canadian dollar per tonne,40.0,,FW Net
Nickel,indicated,tonnes,11437.0,%,0.97,NSR canadian dollar per tonne,40.0,,FW Vein
Copper,indicated,tonnes,11437.0,%,0.56,NSR canadian dollar per tonne,40.0,,FW Vein
Cobalt,indicated,tonnes,11437.0,%,0.04,NSR canadian dollar per tonne,40.0,,FW Vein
Gold,indicated,tonnes,11437.0,g/t,0.04,NSR canadian dollar per tonne,40.0,,FW Vein
Platinum,indicated,tonnes,11437.0,g/t,0.33,NSR canadian dollar per tonne,40.0,,FW Vein
Palladium,indicated,tonnes,11437.0,g/t,1.82,NSR canadian dollar per tonne,40.0,,FW Vein
Nickel,indicated,tonnes,430795.0,%,0.39,NSR canadian dollar per tonne,40.0,,West Ext Net
Copper,indicated,tonnes,430795.0,%,0.49,NSR canadian dollar per tonne,40.0,,West Ext Net
Cobalt,indicated,tonnes,430795.0,%,0.02,NSR canadian dollar per tonne,40.0,,West Ext Net
Gold,indicated,tonnes,430795.0,g/t,0.06,NSR canadian dollar per tonne,40.0,,West Ext Net
Platinum,indicated,tonnes,430795.0,g/t,0.24,NSR canadian dollar per tonne,40.0,,West Ext Net
Palladium,indicated,tonnes,430795.0,g/t,1.09,NSR canadian dollar per tonne,40.0,,West Ext Net
Nickel,inferred,tonnes,8906.0,%,3.91,NSR canadian dollar per tonne,40.0,,HW Massive
Copper,inferred,tonnes,8906.0,%,1.22,NSR canadian dollar per tonne,40.0,,HW Massive
Cobalt,inferred,tonnes,8906.0,%,0.16,NSR canadian dollar per tonne,40.0,,HW Massive
Gold,inferred,tonnes,8906.0,g/t,0.09,NSR canadian dollar per tonne,40.0,,HW Massive
Platinum,inferred,tonnes,8906.0,g/t,1.46,NSR canadian dollar per tonne,40.0,,HW Massive
Palladium,inferred,tonnes,8906.0,g/t,3.60,NSR canadian dollar per tonne,40.0,,HW Massive
Nickel,inferred,tonnes,52486.0,%,0.56,NSR canadian dollar per tonne,40.0,,HW Net
Copper,inferred,tonnes,52486.0,%,1.15,NSR canadian dollar per tonne,40.0,,HW Net
Cobalt,inferred,tonnes,52486.0,%,0.03,NSR canadian dollar per tonne,40.0,,HW Net
Gold,inferred,tonnes,52486.0,g/t,0.14,NSR canadian dollar per tonne,40.0,,HW Net
Platinum,inferred,tonnes,52486.0,g/t,0.39,NSR canadian dollar per tonne,40.0,,HW Net
Palladium,inferred,tonnes,52486.0,g/t,1.90,NSR canadian dollar per tonne,40.0,,HW Net
Nickel,inferred,tonnes,6963.0,%,1.89,NSR canadian dollar per tonne,40.0,,HW Vein
Copper,inferred,tonnes,6963.0,%,2.59,NSR canadian dollar per tonne,40.0,,HW Vein
Cobalt,inferred,tonnes,6963.0,%,0.07,NSR canadian dollar per tonne,40.0,,HW Vein
Gold,inferred,tonnes,6963.0,g/t,0.07,NSR canadian dollar per tonne,40.0,,HW Vein
Platinum,inferred,tonnes,6963.0,g/t,0.54,NSR canadian dollar per tonne,40.0,,HW Vein
Palladium,inferred,tonnes,6963.0,g/t,2.61,NSR canadian dollar per tonne,40.0,,HW Vein
Nickel,inferred,tonnes,788.0,%,0.84,NSR canadian dollar per tonne,40.0,,HW Cu
Copper,inferred,tonnes,788.0,%,5.09,NSR canadian dollar per tonne,40.0,,HW Cu
Cobalt,inferred,tonnes,788.0,%,0.04,NSR canadian dollar per tonne,40.0,,HW Cu
Gold,inferred,tonnes,788.0,g/t,0.28,NSR canadian dollar per tonne,40.0,,HW Cu
Platinum,inferred,tonnes,788.0,g/t,0.94,NSR canadian dollar per tonne,40.0,,HW Cu
Palladium,inferred,tonnes,788.0,g/t,2.52,NSR canadian dollar per tonne,40.0,,HW Cu
Nickel,inferred,tonnes,17823.0,%,3.36,NSR canadian dollar per tonne,40.0,,FW Massive
Copper,inferred,tonnes,17823.0,%,1.51,NSR canadian dollar per tonne,40.0,,FW Massive
Cobalt,inferred,tonnes,17823.0,%,0.15,NSR canadian dollar per tonne,40.0,,FW Massive
Gold,inferred,tonnes,17823.0,g/t,0.07,NSR canadian dollar per tonne,40.0,,FW Massive
Platinum,inferred,tonnes,17823.0,g/t,0.93,NSR canadian dollar per tonne,40.0,,FW Massive
Palladium,inferred,tonnes,17823.0,g/t,2.08,NSR canadian dollar per tonne,40.0,,FW Massive
Nickel,inferred,tonnes,39489.0,%,0.63,NSR canadian dollar per tonne,40.0,,FW Net
Copper,inferred,tonnes,39489.0,%,0.65,NSR canadian dollar per tonne,40.0,,FW Net
Cobalt,inferred,tonnes,39489.0,%,0.03,NSR canadian dollar per tonne,40.0,,FW Net
Gold,inferred,tonnes,39489.0,g/t,0.05,NSR canadian dollar per tonne,40.0,,FW Net
Platinum,inferred,tonnes,39489.0,g/t,0.30,NSR canadian dollar per tonne,40.0,,FW Net
Palladium,inferred,tonnes,39489.0,g/t,1.27,NSR canadian dollar per tonne,40.0,,FW Net
Nickel,inferred,tonnes,37456.0,%,0.99,NSR canadian dollar per tonne,40.0,,FW Vein
Copper,inferred,tonnes,37456.0,%,0.62,NSR canadian dollar per tonne,40.0,,FW Vein
Cobalt,inferred,tonnes,37456.0,%,0.05,NSR canadian dollar per tonne,40.0,,FW Vein
Gold,inferred,tonnes,37456.0,g/t,0.05,NSR canadian dollar per tonne,40.0,,FW Vein
Platinum,inferred,tonnes,37456.0,g/t,0.28,NSR canadian dollar per tonne,40.0,,FW Vein
Palladium,inferred,tonnes,37456.0,g/t,1.42,NSR canadian dollar per tonne,40.0,,FW Vein
Nickel,inferred,tonnes,1417068.0,%,0.37,NSR canadian dollar per tonne,40.0,,West Ext Net
Copper,inferred,tonnes,1417068.0,%,0.46,NSR canadian dollar per tonne,40.0,,West Ext Net
Cobalt,inferred,tonnes,1417068.0,%,0.02,NSR canadian dollar per tonne,40.0,,West Ext Net
Gold,inferred,tonnes,1417068.0,g/t,0.06,NSR canadian dollar per tonne,40.0,,West Ext Net
Platinum,inferred,tonnes,1417068.0,g/t,0.26,NSR canadian dollar per tonne,40.0,,West Ext Net
Palladium,inferred,tonnes,1417068.0,g/t,1.07,NSR canadian dollar per tonne,40.0,,West Ext Net
Nickel,inferred,tonnes,10214.0,%,1.82,NSR canadian dollar per tonne,40.0,,West Ext Vein
Copper,inferred,tonnes,10214.0,%,2.50,NSR canadian dollar per tonne,40.0,,West Ext Vein
Cobalt,inferred,tonnes,10214.0,%,0.10,NSR canadian dollar per tonne,40.0,,West Ext Vein
Gold,inferred,tonnes,10214.0,g/t,0.05,NSR canadian dollar per tonne,40.0,,West Ext Vein
Platinum,inferred,tonnes,10214.0,g/t,0.35,NSR canadian dollar per tonne,40.0,,West Ext Vein
Palladium,inferred,tonnes,10214.0,g/t,2.37,NSR canadian dollar per tonne,40.0,,West Ext Vein
